Surah	Ayah	Word	Quran text word by word
1	1	1	بِسۡمِ
1	1	2	ٱللَّهِ
1	1	3	ٱلرَّحۡمَٰنِ
1	1	4	ٱلرَّحِيمِ
1	2	1	ٱلۡحَمۡدُ
1	2	2	لِلَّهِ
1	2	3	رَبِّ
1	2	4	ٱلۡعَٰلَمِينَ
1	3	1	ٱلرَّحۡمَٰنِ
1	3	2	ٱلرَّحِيمِ
1	4	1	مَٰلِكِ
1	4	2	يَوۡمِ
1	4	3	ٱلدِّينِ
1	5	1	إِيَّاكَ
1	5	2	نَعۡبُدُ
1	5	3	وَإِيَّاكَ
1	5	4	نَسۡتَعِينُ
1	6	1	ٱهۡدِنَا
1	6	2	ٱلصِّرَٰطَ
1	6	3	ٱلۡمُسۡتَقِيمَ
1	7	1	صِرَٰطَ
1	7	2	ٱلَّذِينَ
1	7	3	أَنۡعَمۡتَ
1	7	4	عَلَيۡهِمۡ
1	7	5	غَيۡرِ
1	7	6	ٱلۡمَغۡضُوبِ
1	7	7	عَلَيۡهِمۡ
1	7	8	وَلَا
1	7	9	ٱلضَّآلِّينَ
